farsi_idiom,Meaning
جای شکرش باقی بودن,باید قدردان بود چون ممکن بود اوضاع وخیم‌تری رخ دهد.
اب ورنگ داشتن,طراوت و جذابیت و زیبایی داشتن
بازار کسی گرم شدن,جذب تعداد زیادی علاقه‌مند یا هوادار شدن
از لام تا کام نگفتن,ساکت بودن و حرفی نزدن
تق و لق بودن,خارج از روال عادی یا برنامه بودن
ضرب شست نشان دادن,به نمایش گذاشتن قدرت یا توانمندی خود
از خیر چیزی گذشتن,با وجود نیاز به چیزی، آن را نادیده گرفتن
پالان کسی را افتاب گذاشتن,از کار برکنار کردن کسی
اسم گذاشتن روی کسی,تهمت نادرست زدن به کسی
راه انداختن کسی,برآورده ساختن درخواست فردی
سر زبان ها افتادن,مشهور شدن به معنای شناخته شدن توسط عموم مردم است.
از اب گل الود ماهی گرفتن,سو استفاده کردن از وضعیت نابسامان
خر کسی از کرگی دم نداشتن,رها کردن کاری به دلیل سختی یا زیان‌آور بودن آن.
پای کسی لنگیدن,تمایل به ناپایداری و انحراف داشتن
توی دل کسی خالی شدن,هراسیدن و از دست دادن اعتماد به نفس
زیر ذره بین قرار داشتن,مورد پایش دقیق بودن
شان کسی اجل شدن,رتبه‌ی کسی ارتقا یافت.
کسی از چیزی عارش می اید,فردی نسبت به چیزی احساس شرمندگی می‌کند.
خود را از تک وتا نینداختن,عدم نشان دادن ترس، ضعف یا شکست
حساب کار خود را کردن,هراسیدن و کاری را متوقف کردن
شاخ کسی را شکستن,چیره شدن بر کسی
هم از اخور هم از توبره خوردن,داشتن درآمد یا نفع از دو منبع مختلف
زیر سر کسی بلند شدن,برقراری ارتباط با فردی به جز همسر خود
ساخته شدن برای کسی,کاملاً با فردی هماهنگ یا متناسب بودن
چیزی را عروس کردن,بخشیدن یا انتقال چیزی به فردی دیگر
گر تو بهتر می زنی بستان بزن,چنانچه در این حوزه تخصص یا تجربه بیشتری داری، خودت کار را انجام بده و از دخالت نالازم در کار دیگران پرهیز کن.
عطای کسی را به لقایش بخشیدن,صرف‌نظر از خوبی‌های فرد به دلیل رفتاری نامناسب که از او سر می‌زند.
پا پیش گذاشتن,پیشقدم شدن برای انجام کاری
نازک تر از گل به کسی نگفتن,با کسی با نهایت احترام و مهربانی صحبت کردن.
موش دواندن,اختلال ایجاد کردن یا ممانعت از فعالیت کسی.
روی سگ کسی بالا امدن,به شدت عصبی یا تهاجمی شدن
با خاک یک سان کردن جایی,خراب کردن مکانی
کفگیر کسی به ته دیگ خوردن,خالی شدن جیب و نیازمند شدن
یک روده ی راست توی شکم کسی نبودن,بی‌صداقتی
دست از پا خطا کردن,انجام دادن کوچکترین اشتباه یا عمل ناپسند
بال دراوردن,سرشار از خوشحالی شدن
پشت دست خود را داغ کردن,بسیار متأسف بودن از انجام کاری و تصمیم به دوری از تکرار آن.
به خاک سیاه نشستن,دچار فلاکت یا تیره‌روزی یا ورشکستگی گردیدن
ریش و قیچی دست کسی بودن,همه قدرت یا کنترل در دست فردی خاص بودن.
کسی به ماه می گوید تو درنیا که من درامدم,اشاره به زیبایی بی‌نظیر او
گدابازی دراوردن,ابراز ناخرسندی از خرج کردن
از کیسه ی خلیفه بخشیدن,بخشیدن چیزی که ندارید نوعی بخشش غیرمطمئن است.
با دم شیر بازی کردن,انجام کار خطرناک، به معنای به خطر انداختن خود است.
توی ذوق کسی زدن,زدن به تیغ اشتیاق کسی
دست پیش گرفتن تا اینکه پس نیفتند,برای رفع اتهامات، مسئولیت را به شخص دیگری واگذار کردن.
عین خیال کسی نبودن,بی‌اهمیت بودن یا نادیده گرفتن چیزی
زیراب کسی را زدن,با نیرنگ، جایگاه یا موقعیت فردی را نابود کردن.
زبان کسی مو دراوردن,تکرار مکرر و بی‌حاصل چیزی
علف سبز شدن زیر پای کسی,چشم‌انتظاری بی‌حاصل
اب زیر پوست کسی رفتن,اضافه وزن گرفتن یا بهبود وضعیت جسمانی
ناف کسی را با چیزی بریدن,زمانی استفاده می‌شود که فردی مداوم خواستار چیزی است یا آن را مکرراً انجام می‌دهد.
سر کسی را بردن,کسی را با صحبت زیاد اذیت کردن
کاشف به عمل امدن,آشکار شدن
خوشی زیر دل کسی زدن,علی‌رغم داشتن رفاه و امکانات، اقدامی انجام دادن که پیامد منفی داشته باشد.
با کسی چپ افتادن,خصومت یا عداوت با کسی پیدا کردن.
کلاه خود را قاضی کردن,قضاوت کردن با درون خود
طاقت کسی را طاق کردن,نسبت به کسی کم‌صبری یا بی‌تحملی نشان دادن
توی هچل افتادن,به مشکل افتادن یا در شرایط سختی گرفتار شدن
سروکله ی کسی پیدا شدن,پدیدار شدن یا حضور یافتن کسی
سروگوش اب دادن,به طور پنهانی کسب اطلاع کردن
چانه ی خود را بند کردن,ورود به گفتگوی طولانی و مفصل.
دل کسی لک زدن,با شدت به دنبال چیزی بودن
اب شدن و در زمین فرورفتن,ناگهان مفقود یا ناپیدا شدن
حال کسی را گرفتن,کسی را دلخور یا مایوس کردن یا از اشتیاق انداختن
نازک نارنجی بودن,فردی که نسبت به مشکلات و دشواری‌ها تحمل کمی دارد و به آسانی حساس و آزرده‌خاطر می‌شود.
اب در هاون کوبیدن,انجام دادن کاری که نتیجه‌ای ندارد.
نمک نشناس بودن,ناسپاسی یا خیانت در قبال مهربانی یا لطف دیگران، از جمله خوردن از سفره‌ی کسی و سپس ناسپاسی نسبت به او.
ادم یک دنده,افراد لجباز یا سرسخت کسانی هستند که دیدگاه‌ها و عقاید ثابتی دارند و تغییر نمی‌کنند.
اسیاب به نوبت,به عنوان تذکر به کسی گفته می‌شود که بدون رعایت نوبت، خواهان رسیدگی سریع‌تر به کارهایش است.
پادرمیانی کردن,پادرمیانی یا دخالت برای رفع اختلاف یا انجام فعالیتی
یک من ماست چه قدر کره دارد,نشان‌دهنده این است که واقعیت پیچیده‌تر یا متفاوت از آنچه مخاطب تصور می‌کند.
در دیزی باز است حیای گربه کجا رفته است,این عبارت زمانی به کار می‌رود که فردی از فرصتی بهره‌برداری کرده یا عملی انجام داده که به‌طور رسمی یا قانونی مشکل‌ساز نیست، اما از منظر اخلاقی توسط گوینده ناپسند تلقی می‌شود.
با کسی سرسنگین بودن,نسبت به کسی بی‌تفاوت بودن یا رابطه‌ای شبیه به قهر با او برقرار کردن.
دنبال سوراخ موش گشتن,به هراس افتادن و به دنبال مسیری برای فرار یا پناهگاه گشتن.
دل تو دل کسی نبودن,دچار اضطراب یا ناآرامی بودن
صدای کسی از جای گرم درامدن,ثروتمند یا بی اطلاع از مسائل و دغدغه‌های دیگران بودن
تقی به توقی خوردن,وقوع یک اتفاق جزئی یا بی‌اهمیت، باعث ایجاد سروصدای کمی شد.
دل خود را صابون زدن,به خود دادن وعده‌ی چیزهای خوب یا غذای موردعلاقه، یا غذای کافی، نوعی خوشی از رسیدن به خواسته‌ها است.
افتاب لب بام,فرد یا چیزی که در حال فروپاشی یا اتمام زندگی است.
کسی صد چاقو می سازد یکی از انها هم دسته ندارد,او ادعاها و صحبت‌های زیادی مطرح می‌کند که هیچ‌کدام پایه و اساسی ندارند، او فردی دروغ‌گو است.
پای ثابت جایی یا چیزی بودن,به طور مداوم به مکانی رفتن یا در فعالیتی حضور داشتن
نان را به نرخ روز خوردن,تطبیق‌دادن عقیده، رفتار یا ظاهر با شرایط روز به منظور فرصت‌طلبی.
پای کسی لب گور بودن,ظهور نشانه‌های مرگ در فردی که به شدت بیمار یا بسیار ناتوان است.
یک تخته ی کسی کم بودن,دارای کمبود عقل یا ساده‌لوح بودن
اب دوغ خیاری,پیش‌ پاافتاده و سطحی
دندان روی جگر گذاشتن,صبر کردن و سکوت در برابر چیزی را تاب آوردن.
چوب لای چرخ گذاشتن,در مسیر انجام کار کسی سنگ‌اندازی کردن.
جا تر بودن و بچه نبودن,غیب شدن فرد یا چیزی از مکانی که انتظار حضورش در آنجا می‌رفت.
دولاپهنا حساب کردن,فروختن چیزی به قیمتی بیش از حد یا چند برابر ارزش واقعی آن.
ساخته شدن برای چیزی,توانمند یا آماده بودن برای انجام کاری
شیره به سر کسی مالیدن,گمراه کردن یا به اشتباه انداختن.
اب خنک خوردن,محبوس بودن در حبس گذراندن
اشک تمساح ریختن,تظاهر به اندوه و تاثری که با هدف فریب دیگران صورت می‌گیرد و اشکی که از روی دلسوزی نیست بلکه ریاکارانه است.
خاطرخواه کسی بودن,علاقه‌مند بودن به کسی
سروته یک کرباس بودن,همسان یا هم‌نوع بودن
چیزی را در کوزه گذاشتن و ابش را خوردن,بیان کم‌اهمیت بودن چیزی
دل کسی یک ذره شدن,بسیار مشتاق و بی‌تاب کسی شدن
شست کسی خبردار شدن,ناگهان متوجه چیزی شدن
سیر تا پیاز چیزی را گفتن,شرح کامل حادثه را بازگو کردن.
از چاله به چاه افتادن,در شرایطی بدتر از قبل قرار گرفتن
چوب دوسرطلا یا چوب دوسرگهی,فردی که هر دو طرف منازعه به او بی‌اعتماد یا بدبین یا بغض‌آلود هستند.
از بیخ عرب بودن,کاملاً از موضوع بحث بی‌اطلاع بودن.
خر کسی رفتن,تأثیرگذاری داشتن
حال کسی را اوردن,آگاهی دادن به کسی از طریق تنبیه، ضرب و شتم، پرخاشگری یا اخطار شدید.
کسی را سنگ روی یخ کردن,نادیده گرفتن کسی به معنای کوچک شمردن اوست.
تقصیر چیزی را به گردن گرفتن,پذیرش اشتباه یا تقصیر
دندان کسی را شمردن,از ساده‌لوحی یا نادانی فردی بهره‌برداری کردن و از نقایص او برای رسیدن به مقاصد شخصی سود جستن.
از نا افتادن,قدرت یا انرژی خود را از دست دادن
ناپرهیزی کردن,انجام عملی که انتظار نمی‌رود از کسی سر بزند
سال به سال دریغ از پارسال,این عبارت زمانی به کار می‌رود که وضعیت به طور مداوم رو به بدتر شدن می‌رود و گوینده معتقد است گذشته نسبت به وضعیت فعلی بهتر بوده است.
تاج سر کسی بودن,ارزش و احترام زیادی برای کسی داشتن
اتفاق کردن بر کسی یا چیزی,به توافق رسیدن درباره‌ی شخص یا موضوعی
به داد کسی رسیدن,بازگرداندن حق شخص، رهایی او از ظلم، یاری و پشتیبانی از او.
راه پس و پیش نداشتن,ناتوانی در پیشبرد کاری و ناچار به ماندن در موقعیتی یا انجام عملی بودن.
دودستی به چیزی چسبیدن,شیفته چیزی بودن و همیشه با آن همراه بودن
جای پای خود را سفت کردن,تثبیت موقعیت و یافتن جایگاه مناسب برای خود
نم پس ندادن,بسیار صرفه‌جو و محتاط بودن
خود را به ان راه زدن,تظاهر به نادیده گرفتن، نشنیدن یا درک نکردن چیزی.
اش دهن سوزی بودن,داشتن کیفیتی چشمگیر یا عالی.
ارث بابای خود را طلبکار بودن,ادعای برخورداری از چیزی به عنوان حق خود.
اب در دهان کسی خشکیدن,وحشت‌زده یا متعجب شدن
سپر بلا,کسی یا چیزی که به عنوان سپر برای محافظت از دیگری در برابر خطر یا بلا عمل کند.
چیزی را بالا کشیدن,تصاحب اموال یا دارایی فردی بدون رضایت او و عدم بازگرداندن آن.
سایه ی کسی را با تیر زدن,دشمنی ورزیدن با کسی
از صدقه ی سر کسی یا چیزی,به دلیل حضور فرد یا شیء
طاقچه بالا گذاشتن,به نمایش گذاشتن برتری و خودبزرگ‌بینی و اهمیت بیشتر برای خود قائل شدن.
اخم وتخم کردن,عصبانیت و تندخویی نشان دادن
کسی را تروخشک کردن,رسیدگی به شخصی و مدیریت زندگی او.
سر کسی بی کلاه ماندن,به چیزی دست نیافتن و از آن بهره‌ای نبردن.
چیزی را پیراهن عثمان کردن,چیزی را بهانه قرار دادن تا کسی را تحت فشار قرار داده یا او را بی‌آبرو کند.
اب افتادن دهن کسی,دچار اشتیاق شدن برای چیزی
کار حضرت فیل بودن,انجام‌دادن کاری با سختی زیاد
دل سنگ به حال کسی اب شدن,در شرایط بسیار نامطلوب یا تأسف‌بار قرار داشتن
ناز شست کسی,جمله‌ای برای ستایش یا انگیزه دادن به فردی
پا جای پای کسی گذاشتن,اقتدا یا تقلید از کسی و دنبال کردن حرفهٔ او.
از ترس زهره ترک شدن,بدحال شدن به دلیل ترس شدید
فال بد زدن,پیش بینی ناگوار کردن
چراغ سبز نشان دادن,نشان دادن رضایت غیرمستقیم
مار خوش خط وخال,اشاره به فردی که چهره‌ای دل‌فریب اما باطنی ناپسند دارد.
اخور کسی پر بودن,برخورداری از وضعیت مناسب اقتصادی و عدم نیاز مالی
اشی برای کسی پختن که یک وجب روغن رویش باشد,تهدید به انتقام‌جویی یا طراحی نقشه‌ای برای آسیب رساندن به کسی
ناز کسی خریدار داشتن,چنان محبوب بودن که دیگری آرزوهایش را برآورده سازد.
پای کسی بودن,مسئولیت یا هزینه بر عهده فردی بودن
خر کسی از پل گذشتن,تحقق یافتن خواسته یا نیت شخصی.
گاو کسی زاییدن,برای کسی مسئله یا معضلی پیش آمدن.
شاخ غول را شکستن,اقدام به عملی استثنایی یا چشمگیر کردن
اب از دست کسی نچکیدن,خیلی صرفه‌جو بودن
داغ کسی تازه شدن,به خاطر آوردن کسی همراه با اندوه و مصیبت فراوان.
شاخ شدن,به چشم آمدن و جلب توجه کردن و مزاحم شدن و قوی شدن
از خر شیطان پایین امدن,از سماجت یا مخالفت یا اصرار بی‌مورد صرف‌نظر کردن
زبان کسی هرز بودن,عدم حفظ اسرار توسط شخصی
دستم به دامنت,هنگامی که از کسی درخواست کمک می‌شود، گفته می‌شود.
توی دل کسی را خالی کردن,ترساندن یک فرد باعث کاهش اعتماد به نفس او می‌شود.
بر باد رفتن,از بین رفتن و ویرانی
کاتولیک تر از پاپ,فردی که نسبت به افراد اصلی نسبت به موضوعی پایبندی یا تعصب بیشتری دارد.
خود را گرفتن,خودنمایی کردن و از خودراضی بودن.
شاخ توی جیب کسی گذاشتن,تحسین یا تمجید از فردی کردن
راه امدن باکسی,با کسی توافق کردن یا مدارا نمودن یا با ملایمت رفتار کردن
جاده را برای کسی صاف کردن,فرصت پیشرفت یا موفقیت را برای کسی مهیا کردن.
صغرا و کبرا چیدن,زمینه‌سازی برای دستیابی به نتیجه‌ی مطلوب
خدا را بنده نبودن,خیلی خودپسند و متباهي بودن و به دیگران خود را برتر نشان دادن
کسی را به خاک سیاه نشاندن,کسی را به فلاکت یا شکست اقتصادی رساندن
