Fake Idiom,Source Idiom,Category
صلح اول به از جنگ آخر,جنگ اول به از صلح آخر,Semantic Inversion / Contradiction
سیخ نسوزد ولی کباب بسوزد,نه سیخ بسوزد نه کباب,Semantic Inversion / Contradiction
آرزو بر جوانان عیب است,آرزو بر جوانان عیب نیست,Semantic Inversion / Contradiction
به یابو شاه گفتند اسب,به اسب شاه گفتند یابو,Semantic Inversion / Contradiction
تا که باشد چیزکی مردم نگویند چیزها,تا نباشد چیزکی مردم نگویند چیزها,Semantic Inversion / Contradiction
دود از شاخه ی تازه بلند میشود,دود از کنده بلند میشود,Semantic Inversion / Contradiction
آسمان هیچ جا یک رنگ نیست.,آسمان همه‌جا یک‌رنگ است,Semantic Inversion / Contradiction
مار گزیده دنبال ریسمان سیاه و سفید میگردد,مار گزیده از ریسمان سیاه و سفید می‌ترسد,Semantic Inversion / Contradiction
سوخت و سوز دارد ولی دیر و زود ندارد,دیر و زود دارد، ولی سوخت و سوز ندارد,Semantic Inversion / Contradiction
دوست نادان به از دشمن دانا,دشمن دانا به از دوست نادان,Semantic Inversion / Contradiction
گر صبر کنی ز حلوا غوره سازی,گر صبر کنی ز غوره حلوا سازی,Semantic Inversion / Contradiction
سنگ بزرگ نشانه زدن هدف بزرگ است,سنگ بزرگ نشانه نزدن است,Semantic Inversion / Contradiction
شتر دیدی بگو دیدی,شتر دیدی ندیدی,Semantic Inversion / Contradiction
چراغی که به مسجد رواست به خانه حرام است.,چراغی که به خانه رواست به مسجد حرام است,Semantic Inversion / Contradiction
غاز همسایه مرغ است,مرغ همسایه غاز است,Semantic Inversion / Contradiction
آب در کوزه و ما تشنه لب نمیمانیم,آب در کوزه و ما تشنه لبان می‌گردیم,Semantic Inversion / Contradiction
عقل سالم در بدن ناسالم است,عقل سالم در بدن سالم است,Semantic Inversion / Contradiction
کوه به کوه می‌رسد، آدم به آدم نمی‌رسد,کوه به کوه نمی‌رسد، آدم به آدم می‌رسد,Semantic Inversion / Contradiction
شاهنامه آخرش غمگین است,شاهنامه آخرش خوش است,Semantic Inversion / Contradiction
با حلوا حلوا گفتن دهان شیرین میشود,با حلوا حلوا گفتن دهان شیرین نمیشود,Semantic Inversion / Contradiction
بادمجان بم پر آفت است,بادمجان بم آفت ندارد,Semantic Inversion / Contradiction
به تب گرفتن تا به مرگ راضی کردن,به مرگ گرفتن که به تب راضی کردن,Semantic Inversion / Contradiction
گربه محضی رضای خدا موش میگیرد,گربه برای رضای خدا موش میگیرد,Semantic Inversion / Contradiction
زن و شوهر دعوا کنند عاقلان باور کنند,زن و شوهر دعوا کنند ابلهان باور کنند,Semantic Inversion / Contradiction
بی ادبی از که آموختی از با ادبان,ادب از که آموختی از بی ادبان,Semantic Inversion / Contradiction
بار کج به منزل میرسد,بار کج به منزل نمی‌رسد,Semantic Inversion / Contradiction
سیب سرخ برای دست تواناست,سیب سرخ برای دست چلاقه,Semantic Inversion / Contradiction
از کوه کاه ساختن,از کاه کوه ساختن,Semantic Inversion / Contradiction
موش توی سوراخ می‌رفت و جارو به دمش نمی‌بست,موش توی سوراخ نمی‌رفت، جارو به دمش می‌بست,Semantic Inversion / Contradiction
گربه دستش به گوشت می‌رسه و می‌گه پیف پیف بو میده,گربه دستش به گوشت نمی‌رسه، می‌گه پیف پیف می‌کرد,Semantic Inversion / Contradiction
ماست را از مو کشیدن,مو را از ماست کشیدن,Semantic Inversion / Contradiction
گربه برای رضای خدا موش می‌گیرد,گربه برای رضای خدا موش نمی‌گیرد,Semantic Inversion / Contradiction
از جان مرغ تا شیر آدمیزاد,از شیر مرغ تا جان آدمیزاد,Semantic Inversion / Contradiction
دندان طمع کاشتن,دندان طمع کند کردن,Semantic Inversion / Contradiction
نمک نخوردن ولی نمکدان شکستن,نمک خوردن و نمکدان شکستن,Semantic Inversion / Contradiction
کلاه خود را ‌بی طرف کردن,کلاه خود را ‌قاضی کردن,Semantic Inversion / Contradiction
سنگ بزرگ نشانه زدن است,سنگ بزرگ نشانه نزدن است,Semantic Inversion / Contradiction
آب از آسیاب دشمن برداشتن,آب به آسیاب دشمن ریختن,Semantic Inversion / Contradiction
سری که درد می‌کند دستمال نمی‌بندند,سری که درد نمی‌کند دستمال نمی‌بندند,Semantic Inversion / Contradiction
راه یک شبه را صد ساله رفتن,راه صد ساله را یک شبه رفتن,Semantic Inversion / Contradiction
در هفت دولت اسیر بودن,از هفت دولت آزاد بودن,Semantic Inversion / Contradiction
عیسی به دین خود، موسی به دین عیسی,عیسی به دین خود، موسی به دین خود,Semantic Inversion / Contradiction
فلفل نبین چه ریزه، بشکن ببین چه شیرینه,فلفل نبین چه ریزه، بشکن ببین چه تیزه,Semantic Inversion / Contradiction
کاچی به از همه چی,کاچی به از هیچی,Semantic Inversion / Contradiction
از دل برود هر آنکه از دیده نرفت.,از دل برود هر آنکه از دیده برفت.,Semantic Inversion / Contradiction
با بردن رنج گنج میسر نمی‌شود.,نابرده رنج گنج میسر نمی‌شود.,Semantic Inversion / Contradiction
آشپز که دو تا شد، آش نه شور می‌شود نه بی‌نمک.,آشپز که دو تا شد، آش یا شور می‌شود یا بی‌نمک.,Semantic Inversion / Contradiction
خواستن توانستن نیست,خواستن توانستن است,Semantic Inversion / Contradiction
دیدن کی بود مانند شنیدن؟,شنیدن کی بود مانند دیدن؟,Semantic Inversion / Contradiction
هر آن کسی که نان دهد دندان دهد,هر آن کسی که دندان دهد نان دهد,Semantic Inversion / Contradiction
گربه‌ی پیر هم خواب موش تازه می‌بیند,,Phonetic / Poetic Mimicry
گهواره تا نجنبد، بچه خواب نمی‌بیند,,Phonetic / Poetic Mimicry
اگر دوغ ترش شد، کوزه را ملامت نکن,,Phonetic / Poetic Mimicry
نه در خانه، نه در دل,,Phonetic / Poetic Mimicry
بی‌کلام، بی‌دردسر,,Phonetic / Poetic Mimicry
قفل و کلید، مشکل و امید,,Phonetic / Poetic Mimicry
خانه که بلند باشد، سیل هم زیباست,,Phonetic / Poetic Mimicry
شمع خاموش، از باد نمی‌ترسد,,Phonetic / Poetic Mimicry
باد، ردای فقیر را زودتر می‌دزدد,,Phonetic / Poetic Mimicry
اگر شب دروغ بگوید، صبح گواه می‌آید,,Phonetic / Poetic Mimicry
به گدا طلا بده، باز هم سوال داره.,,Phonetic / Poetic Mimicry
روباه دم‌کنده و ادعای راستگویی؟,,Phonetic / Poetic Mimicry
از درخت خشک، توقع سایه؟,,Phonetic / Poetic Mimicry
آب و دونه مفت به قفس نمی ارزه,,Phonetic / Poetic Mimicry
جیب خالی و مهریه سنگین؟,,Phonetic / Poetic Mimicry
تا نفهمی چی می‌خوای نمی‌بینیش ,,Phonetic / Poetic Mimicry
گنج بی‌نقشه، تو خواب هم نیست,,Phonetic / Poetic Mimicry
گفت چرا دعام نمی‌گیره؟ گفت نیتت قرضیه,,Phonetic / Poetic Mimicry
لقمه‌ی بزرگ به سرفه بعدش نمی ارزه,,Phonetic / Poetic Mimicry
گفتن چرا نماز نمی‌خونی؟ گفت با خدا قهرم,,Phonetic / Poetic Mimicry
سایه‌ی کوتاه، از درخت بلند نمیاد,,Phonetic / Poetic Mimicry
پرسیدن چی فروختی؟ گفت دلمو، به ارزون,,Phonetic / Poetic Mimicry
قفل قلابی، همه رو شاه دزد میکنه,,Phonetic / Poetic Mimicry
پیرزن با یک نخود، قصه می‌بافد,,Phonetic / Poetic Mimicry
هر که زخم نبیند، مرهم نمی‌فهمد,,Phonetic / Poetic Mimicry
کاش دل هم زبان داشت,,Phonetic / Poetic Mimicry
مثل سرو در طوفان، خم شو ولی نشکن,,Phonetic / Poetic Mimicry
خر رو بزرگ کردی، فیل شد؟,,Phonetic / Poetic Mimicry
دعای قسطی هم اجابت داره,,Phonetic / Poetic Mimicry
شاه بی‌وزیر، کمان بی‌تیر  ,,Phonetic / Poetic Mimicry
خواب قلابی هم تعبیر داره؟,,Phonetic / Poetic Mimicry
سگ هم اگه با گربه بچرخه، بی‌وفا میشه,,Phonetic / Poetic Mimicry
چون کبوتر عاشق، دور می‌زنی ولی می‌مانی,,Phonetic / Poetic Mimicry
دنبال دنبه بز می‌گردی,,Phonetic / Poetic Mimicry
مارِ بی‌زهر، به دمش هم شک داره,,Phonetic / Poetic Mimicry
آدم دروغگو اسم خودشم یادش میره,,Phonetic / Poetic Mimicry
پیش عقاب و بلند پروازی؟,,Phonetic / Poetic Mimicry
خنده بی‌لب، گریه بی‌اشک,,Phonetic / Poetic Mimicry
سوگند با شک، نه قَسم است نه گواه,,Phonetic / Poetic Mimicry
پای لنگ، راه راست نمی‌رود,,Phonetic / Poetic Mimicry
اگر در پستو نماز می‌خوانی، چرا بلند آمین می‌گویی؟,,Phonetic / Poetic Mimicry
از مهر بگذرد، از مهریه نمی‌گذرد,,Phonetic / Poetic Mimicry
به کوزه ترک‌خورده آب می‌سپاری,,Phonetic / Poetic Mimicry
به خسیس گفتند: چرا دعا می‌کنی؟ گفت: نذری خرج دارد,,Phonetic / Poetic Mimicry
با این همه ناز، صدا مثه غاز,,Phonetic / Poetic Mimicry
حیف از مسجدی که زنگ ناقوس دارد!,,Phonetic / Poetic Mimicry
اگر در را نبندی، نسیم هم طوفان می‌شود,,Phonetic / Poetic Mimicry
گره را نگشودی، زنجیر نبند,,Phonetic / Poetic Mimicry
شمع روشن نکرده، پروانه نمی‌آید,,Phonetic / Poetic Mimicry
دزد دست و پا شکسته، حریف سگ بسته,,Phonetic / Poetic Mimicry
ماهی دریا، به چشمه پناه نمی‌برد,,Cultural Fabrication
مهر بی‌مهریه، دعای بی‌آمین است,,Cultural Fabrication
روزه‌ی چشم، زشت و زیبا نداره,,Cultural Fabrication
جن که عاشق شه، از بسم الله هم نمی‌ترسه,,Cultural Fabrication
خر که لباس شیر بپوشه، باز هم عر عر می‌کنه,,Cultural Fabrication
توبه‌ی تو تاریکی، تا سحر دوام داره,,Cultural Fabrication
آرش یک‌بار تیر انداخت، ولی صداش هنوز می‌آید,,Cultural Fabrication
سوگ رستم، عزای ماهه یا خورشید؟,,Cultural Fabrication
رستم اگه صبر داشت، سهراب عروس به جا قبر داشت,,Cultural Fabrication
توبه‌ی داماد، به مهریه وصله؟,,Cultural Fabrication
هر طرفی برای لر قبله است.,,Cultural Fabrication
شیربهای دختر مادر مرده رو به کی میدن,,Cultural Fabrication
وعده شب جمعه، باد هواست,,Cultural Fabrication
انگشتر بی‌فیروزه، چشم شور رادفع نمی‌کند,,Cultural Fabrication
چوپان عاشق، شب هم گوسفند می‌شمارد,,Cultural Fabrication
رمال اگه اثر داشت، دختر ترشیده نداشتیم,,Cultural Fabrication
عروس با پای چپ وارد بشه، طلاق هم تو جهیزیه اشه,,Cultural Fabrication
روباه که نماز بخواند، مرغ در خطر است,,Cultural Fabrication
جلوی قافله شتر خر نمی‌بندند,,Cultural Fabrication
خروس بی‌اذان، نذر قربانیه,,Cultural Fabrication
حلاج تو خواب هم پنبه میزنه,,Cultural Fabrication
ده بی‌کدخدا، سگ هم عوعو نمی‌کند.,,Cultural Fabrication
عروس اگه آب بریزه، مادر شوهر لیز می‌خوره.,,Cultural Fabrication
توبه با ریش سفید اثر ندارد,,Cultural Fabrication
سودابه گریه کرد، ولی اشک به رنگ دروغ بود,,Cultural Fabrication
توبه بی‌گریه، چه توبه‌ایست؟,,Cultural Fabrication
در دامن زال، موی سپید حکم تجربه دارد,,Cultural Fabrication
اگر سفره حضرت باز شود، نمک‌نخورده نمی‌مانی,,Cultural Fabrication
ذکر را بلند گفت، ولی دلش در بازار بود,,Cultural Fabrication
دعا را لای قرآن گذاشت، ولی نیت را بیرون گذاشت,,Cultural Fabrication
برنج شمال نپخته، بوش بلنده,,Cultural Fabrication
حاجی فیروز قر داد کمر، روزش به سر رسید عمر,,Cultural Fabrication
ملانصرالدین روزه نگرفته دنبال سحری بود,,Cultural Fabrication
شیخ بی تقوا شریک شیطان است,,Cultural Fabrication
مال دزدی، نذر امامزاده‌ی جعلی,,Cultural Fabrication
سهراب اگر مادر داشت، جنگ نمی‌کرد,,Cultural Fabrication
موقع محصول کدخدا، موقع زکات ملا,,Cultural Fabrication
اسفند دود کرد، خودش کور شد,,Cultural Fabrication
سر خاک خودت، فاتحه می‌خونی؟,,Cultural Fabrication
فال رو از دل بخواه، نه از کف بین,,Cultural Fabrication
استخاره‌ی دروغ، راهو گم می‌کنه,,Cultural Fabrication
بی‌نذر و نیاز، حاجت می‌طلبی؟,,Cultural Fabrication
از افراسیاب، درس صلح می‌خوای؟,,Cultural Fabrication
مگه دیوی که حرفت چپه,,Cultural Fabrication
چتر نداشته و دعای بارون,,Cultural Fabrication
باغبان تا گریه نکند، انار نمی‌خندد,,Cultural Fabrication
داماد با کفش نو، ولی پای دلش پینه بسته,,Cultural Fabrication
هر که خوبی نذر کرد، نذرش برگشت,,Cultural Fabrication
اگر نان تنور مادر نسوزد، بچه قد نمی‌کشد,,Cultural Fabrication
رستم بدون رخش، رستم نمی‌شد,,Cultural Fabrication
