English Idiom,Farsi Idiom
I’ll cook your goose,___ ____ ____ __ ___ ____ ___ ____
"First come, first served",_____ __ ____.
I’m all ears,_____ ____
From A to Z,__ ___ __ ____
The apple never falls far from the tree,___ __ ____ __ __
Dreams go by contraries,____ __ ___
Many a little make a mickle,____ ____ ___ _____ ______ ____ ___.
Don’t speak of secrets in a field that is full of little hills,_____ ___ ____. ___ __ ___ ____.
Don’t bite the hand that feed you,___ _____ _ ______ _____
Take a chance while it is available,____ __ ___ __ ____ ___ __ ______
Rome was not built in a day,__ ___ ___ _ ____ ____ ____.
"In for a penny, in for a pound",__ __ __ __ ____ __ __ ___ __ __ ___
It is all up with him,__ __ ___ _____
Between pillar and post there maybe rescue,__ ___ ____ __ __ ____ ___ ___
"He refuses the bride, but puts forth his hand",__ __ __ __ ___ __ ___ ___ __ ___
"Out of sight, out of mind",__ __ ____ __ ____ __ ____ ___
Union is strength,__ ___ ___ _____
He kills a man with cushion,__ ____ __ __ ___
He laughs in one’s face and cuts his throat,__ ____ __ __ ___
Between two stools one falls to the ground,__ __ ___ __ _______ ___ ____ ______
Cattle do not die from the cow’s cursing,__ ____ ____ _____ _____ ___ ___
Mills will not grind if you give them not water,__ ____ ____ ___
Great boast little toast,__ ____ ___ ____
"Physician, heal thyself",__ __ ______ ____ ___ _____ ______
One can’t make war with rose water,___ ____ ____ ___ ___ ____
Short accounts make long friends,____ ____ ___ ____ _____
"A jar’s mouth may be stopped, a man’s cannot","__ ______ __ __ ____ ____ ___ ____ __ ___ ____ ___"
Every rogue is at length outrogued,___ _____ ___ _____ ___
Coming events cast their shadows before,____ __ _____ __ _____ ______
Seeing is believing,_____ __ ___ _____ ____
Still waters run deep,____ ____ __ ____ ____ ____ __ ____
There is honour among thieves,____  ____ ____ __ ___ ___
A great ship must have deep water,"__ __ ____ ____ ____ _____"
Better be alone than in bad company,___ __ ____ ___ __ ___ __
To steer a middle course,__ ___ _ ____
Practice makes perfect,___ ____ ____ __ __ ____ ___
He wouldn’t hurt a fly,_____ __ _____ __ ___ ___
Over my dead body,___ ____ __ ___ ___ __ __ ___
A cat has nine lives ,__ ___ ___ ____
A bad penny always comes back,___ __ ___ ___ _____
A fox smells its own lair first. and A fox smells its own stink first.,"___ __ __ ____ ____ ____ ____ ____ ______"
A jack of all trades is master of none.,________ _ ________
A journey of a thousand miles begins with a single step,____ ____ ___ ____ ______ ____ ___
A pot of milk is ruined by a drop of poison.,__ __ __ ___ ___ __ __ ______
A sound mind in a sound body.,___ ____ __ ___ ____ ___
A word spoken is past recalling.,____ __ ___ __ __ ___ ________
Absence makes the heart grow fonder,____ _ _____
All cats love fish but hate to get their paws wet.,"______ ____ ___ ____ _______"
All things come to he who waits.,__ ___ ___ _ ____ ____ ____
An ounce of prevention is worth a pound of cure.,_______ ____ __ _____ ___
"As you sow, so shall you reap.","____ ______ ____ _____"
"Better to be thought a fool, than to open your mouth and remove all doubt.","__ ___ ___ _____ _____ ___ _ ____ _____ ____"
Blood is thicker than water.,"_____ __ __ __ ____ ______ __ ____ ____ ___"
Cleanliness is next to Godliness,_______ _____ _____ ___
Clothes don’t make the man.,_____ __ ____ ___
Cross the stream where it is the shallowest.,_______ __ __ ___
Curiosity killed the cat,____ __ _____ ____ ___ _____ __ ___/_____ _____
Dance to a person’s tune,__ ___ ___ ______
Divide and rule,_____ ______ _ _____ __
Don’t change horses in midstream.,___ ____ ___ _____ ___
Don’t make a mountain out of a molehill.,"__ ____ ___ ____"
Don’t spit into the wind.,___ __ __ ____ ______
"East, west, home’s best",___ __ ____ ___ ___ _____
Hawks will not pick out hawks’ eyes,____ _____ ___ __ _________
He builds castles in the air,__ ______ ___ __ __ ____
He is made of money,___ ___ ____ ____
He that will steal an egg will steal an ox.,___________ ___ ___ ______.
He who lives by the sword shall die by the sword.,"___ ___ ___ ____ ___ ____ ___ ___"
"If the shoe fits, wear it.",___ __ ____ _____
It’s easy to be wise after the event,____ __ __ ___ ____ ___
It’s never too late to mend,____ ___ __ __ ____ _____ _____ ___
It’s not over till it’s over,____ __ ___ _____ _________
Keep a thing seven years and you will always find a use for it.,__ ___ __ ____ ___ _____ __ ___ ___
Laughter is the best medicine,____ __ __ ___ ________ _____
Like father like son,___ ___ _____ ____ __ ___
"Long absent, soon forgotten.",__ __ ____ __ __ __ __ ____ ____
Make love not war.,__ _____ ___ ____ ___ ________ ___ ________
Spare the rod and spoil the child,"__ _____ ___ ___ _____ ____ ___ _ __"
The best way to get even is to forget,__ ___ ____ ___ __ __ ______ ____
The mills of God grind slowly,___ ___ ___ _____
To carry coals to Newcastle,____ __ _____ ____
Tomorrow is another day,____ __ ___ _____
